scheme,fold,model,n_test,mae,mean_deviance,spearman,mean_actual,mean_pred,coverage_80,coverage_95
airfoil_10fold,2,full,862,0.07071181469453572,0.7445893114518042,0.4235396774821996,0.12207087476896133,0.11617691475702392,0.8004640371229699,0.9605568445475638
airfoil_10fold,2,six_bin_table,862,0.07385330846513972,0.8613348731246333,0.311963415635876,0.12207087476896133,0.11340614774484455,,
airfoil_10fold,3,constant,809,0.09202573990021179,1.222237089207551,,0.12592367139307653,0.11358658870949136,0.7948084054388134,0.9332509270704573
airfoil_10fold,3,confidence_only,809,0.08405559157268847,1.0601312739468514,0.23652739192337036,0.12592367139307653,0.11116697103910882,0.7849196538936959,0.9394313967861557
airfoil_10fold,3,confidence_Re,809,0.08226103703423587,1.0092304232088338,0.3056461208543598,0.12592367139307653,0.11053927531872103,0.765142150803461,0.9530284301606922
airfoil_10fold,3,full,809,0.07754298697882911,0.9441453980948924,0.4006249368241315,0.12592367139307653,0.10482937050422879,0.7169344870210136,0.927070457354759
airfoil_10fold,3,six_bin_table,809,0.08291064384460792,1.0608091181388908,0.29723454243795083,0.12592367139307653,0.10929772515258959,,
airfoil_10fold,4,constant,830,0.07794106348101806,1.1125394364471035,,0.09916376237758605,0.11656066346176087,0.8891566265060241,0.9674698795180723
airfoil_10fold,4,confidence_only,830,0.07260041885154608,1.0242192943611275,0.1286454095243332,0.09916376237758605,0.10903395497819496,0.844578313253012,0.9602409638554217
airfoil_10fold,4,confidence_Re,830,0.06803624245278181,0.9561746116434444,0.2593474794957003,0.09916376237758605,0.10685259457599067,0.8433734939759037,0.9698795180722891
airfoil_10fold,4,full,830,0.0642728408799275,0.8702950114091376,0.4065512917180211,0.09916376237758605,0.10662189513626362,0.8313253012048193,0.9650602409638555
airfoil_10fold,4,six_bin_table,830,0.0730997399188473,1.0054460302482522,0.25408592104491545,0.09916376237758605,0.11291697730709005,,
airfoil_10fold,5,constant,623,0.10363689165608929,1.4425604035786372,,0.1252433068783017,0.11394486025296145,0.8089887640449438,0.9197431781701445
airfoil_10fold,5,confidence_only,623,0.09604757341285759,1.2862708938830074,0.2567658009464072,0.1252433068783017,0.11493487877833398,0.8041733547351525,0.9309791332263242
airfoil_10fold,5,confidence_Re,623,0.09289207414761778,1.2380336759455846,0.3931073623078392,0.1252433068783017,0.1173876866320705,0.8330658105939005,0.9406099518459069
airfoil_10fold,5,full,623,0.08740883291315697,1.0105658494659526,0.50044674246235,0.1252433068783017,0.12490923909949972,0.8202247191011236,0.9438202247191011
airfoil_10fold,5,six_bin_table,623,0.09469630233513579,1.2825973338127667,0.3257167982773101,0.1252433068783017,0.11345161360612399,,
airfoil_10fold,6,constant,744,0.08832776535770585,1.1985862255187825,,0.11600212224921189,0.11468254999748764,0.8145161290322581,0.9556451612903226
airfoil_10fold,6,confidence_only,744,0.0854386180242275,1.065989387502737,0.280046312308835,0.11600212224921189,0.1322520056326708,0.831989247311828,0.9596774193548387
