cor_name,x,y
FX63-137,0.06699,0.06812
FX63-137,0.05156,0.06052
FX63-137,0.03806,0.05264
FX63-137,0.02653,0.0443
FX63-137,0.01704,0.03548
FX63-137,0.00961,0.02636
FX63-137,0.00428,0.01742
FX63-137,0.0,0.00241
FX63-137,0.00428,-0.00702
FX63-137,0.00961,-0.01016
FX63-137,0.01704,-0.01275
FX63-137,0.02653,-0.01503
FX63-137,0.03806,-0.01706
FX63-137,0.05156,-0.01879
FX63-137,0.06699,-0.02018
FX63-137,0.08427,-0.02123
FX63-137,0.10332,-0.02199
FX63-137,0.12408,-0.02248
FX63-137,0.14645,-0.02272
FX63-137,0.17033,-0.02267
FX63-137,0.22221,-0.02157
FX63-137,0.25,-0.02043
FX63-137,0.27886,-0.01884
FX63-137,0.30866,-0.01675
FX63-137,0.33928,-0.01418
FX63-137,0.37059,-0.01118
FX63-137,0.43474,-0.00421
FX63-137,0.56526,0.01092
FX63-137,0.62941,0.0176
FX63-137,0.69134,0.02287
FX63-137,0.75,0.02629
FX63-137,0.80438,0.02758
FX63-137,0.85355,0.02661
FX63-137,0.89668,0.02343
FX63-137,0.93301,0.01841
FX63-137,0.96194,0.01229
FX63-137,0.98296,0.00623
FX63-137,1.0,0.0
J5012,1.0,0.0
J5012,0.99726,0.00043
J5012,0.98907,0.00169
J5012,0.97553,0.00377
J5012,0.95677,0.00659
J5012,0.93301,0.01009
J5012,0.90451,0.01416
J5012,0.87157,0.0187
J5012,0.83457,0.02357
J5012,0.79389,0.02864
J5012,0.75,0.03377
J5012,0.70337,0.0388
J5012,0.65451,0.04359
J5012,0.60396,0.048
J5012,0.55226,0.05189
J5012,0.5,0.05514
J5012,0.44774,0.05763
J5012,0.39604,0.05928
J5012,0.34549,0.06
J5012,0.29663,0.05975
J5012,0.25,0.05849
J5012,0.20611,0.05621
J5012,0.16544,0.05294
J5012,0.12843,0.04871
J5012,0.09549,0.04359
J5012,0.06699,0.03766
J5012,0.04323,0.03102
J5012,0.02447,0.0238
J5012,0.01093,0.01612
J5012,0.00274,0.00814
J5012,0.0,0.0
J5012,0.00274,-0.00814
J5012,0.01093,-0.01612
J5012,0.02447,-0.0238
J5012,0.04323,-0.03102
J5012,0.06699,-0.03766
J5012,0.09549,-0.04359
J5012,0.12843,-0.04871
J5012,0.16543,-0.05294
J5012,0.20611,-0.05621
J5012,0.25,-0.05849
J5012,0.29663,-0.05975
J5012,0.34549,-0.06
J5012,0.39604,-0.05928
J5012,0.44774,-0.05763
J5012,0.5,-0.05514
J5012,0.55226,-0.05189
J5012,0.60396,-0.048
J5012,0.65451,-0.04359
J5012,0.70337,-0.0388
J5012,0.75,-0.03377
J5012,0.79389,-0.02864
J5012,0.83456,-0.02357
J5012,0.87157,-0.0187
J5012,0.90451,-0.01416
J5012,0.93301,-0.01009
J5012,0.95677,-0.00659
J5012,0.97553,-0.00377
J5012,0.98907,-0.00169
J5012,0.99726,-0.00043
J5012,1.0,0.0
MB253515,1.0,0.0
MB253515,0.95,0.01032
MB253515,0.9,0.02033
MB253515,0.85,0.03052
MB253515,0.8,0.04079
MB253515,0.75,0.05095
MB253515,0.7,0.06078
MB253515,0.65,0.07005
MB253515,0.6,0.07849
MB253515,0.55,0.08582
MB253515,0.5,0.09174
MB253515,0.45,0.09602
MB253515,0.425,0.09748
MB253515,0.4,0.09847
MB253515,0.375,0.09898
MB253515,0.35,0.09904
MB253515,0.325,0.09868
MB253515,0.3,0.09788
MB253515,0.275,0.0966
MB253515,0.25,0.09473
MB253515,0.225,0.09211
MB253515,0.2,0.08861
MB253515,0.175,0.0841
MB253515,0.15,0.07844
MB253515,0.125,0.07146
MB253515,0.1,0.06296
MB253515,0.0875,0.05807
MB253515,0.075,0.05274
MB253515,0.0625,0.04696
MB253515,0.05,0.04072
MB253515,0.0375,0.03393
MB253515,0.025,0.02636
MB253515,0.01,0.01521
MB253515,0.0,-0.00041
MB253515,0.01,-0.01223
MB253515,0.025,-0.01809
MB253515,0.0375,-0.02159
MB253515,0.05,-0.02461
MB253515,0.0625,-0.02739
MB253515,0.075,-0.03001
MB253515,0.0875,-0.03246
MB253515,0.1,-0.03472
MB253515,0.125,-0.03861
MB253515,0.15,-0.04175
MB253515,0.175,-0.04425
MB253515,0.2,-0.04622
MB253515,0.225,-0.04776
MB253515,0.25,-0.04892
MB253515,0.275,-0.04974
MB253515,0.3,-0.05026
MB253515,0.325,-0.05052
MB253515,0.35,-0.05054
MB253515,0.375,-0.05035
MB253515,0.4,-0.04997
MB253515,0.425,-0.04941
MB253515,0.45,-0.04866
MB253515,0.5,-0.0466
MB253515,0.55,-0.04383
MB253515,0.6,-0.04036
MB253515,0.65,-0.03628
MB253515,0.7,-0.03169
MB253515,0.75,-0.02669
MB253515,0.8,-0.02144
MB253515,0.85,-0.01606
MB253515,0.9,-0.0107
MB253515,0.95,-0.00544
MB253515,1.0,0.0
MILEY,1.0,0.0
MILEY,0.99896,0.00015
MILEY,0.99152,0.00088
MILEY,0.97756,0.00198
MILEY,0.95718,0.0037
MILEY,0.93068,0.00631
MILEY,0.89849,0.01002
MILEY,0.86112,0.01499
MILEY,0.81923,0.02139
MILEY,0.77354,0.0293
MILEY,0.72493,0.03878
MILEY,0.67434,0.0498
MILEY,0.62288,0.06225
MILEY,0.5718,0.07584
MILEY,0.52265,0.09002
MILEY,0.47756,0.10309
MILEY,0.4351,0.11094
MILEY,0.39263,0.11489
MILEY,0.35032,0.11617
MILEY,0.30873,0.11531
MILEY,0.26838,0.11256
MILEY,0.22975,0.10814
MILEY,0.19328,0.1022
MILEY,0.15942,0.09487
MILEY,0.12857,0.08605
MILEY,0.10057,0.07583
MILEY,0.07558,0.0646
MILEY,0.05382,0.05305
MILEY,0.03551,0.04122
MILEY,0.02083,0.0296
MILEY,0.00994,0.01862
MILEY,0.00296,0.00878
MILEY,0.00098,0.00452
MILEY,5e-05,0.00087
MILEY,0.0003,-0.00183
MILEY,0.00233,-0.00372
MILEY,0.01203,-0.00669
MILEY,0.02803,-0.00901
MILEY,0.04987,-0.01077
MILEY,0.07718,-0.01203
MILEY,0.10959,-0.01287
MILEY,0.14667,-0.01333
MILEY,0.18796,-0.01349
MILEY,0.23296,-0.01339
MILEY,0.28111,-0.01308
MILEY,0.33185,-0.0126
MILEY,0.38456,-0.012
MILEY,0.43862,-0.01129
MILEY,0.49338,-0.01053
MILEY,0.5482,-0.00972
MILEY,0.60242,-0.0089
MILEY,0.65541,-0.00809
MILEY,0.70652,-0.00729
MILEY,0.75516,-0.00652
MILEY,0.80073,-0.00577
MILEY,0.84269,-0.00506
MILEY,0.88053,-0.00437
MILEY,0.91379,-0.0037
MILEY,0.94205,-0.00302
MILEY,0.96496,-0.00228
MILEY,0.98232,-0.00147
MILEY,0.99393,-0.00073
MILEY,0.99942,-0.00014
MILEY,1.0,0.0
NACA0009,1.0,0.0
NACA0009,0.99572,0.00057
NACA0009,0.98296,0.00218
NACA0009,0.96194,0.00463
NACA0009,0.93301,0.0077
NACA0009,0.89668,0.01127
NACA0009,0.85355,0.01522
NACA0009,0.80438,0.01945
NACA0009,0.75,0.02384
