label,pitch_in,blades,rpm,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf
DA4002 9x2.85 2b,2.85,2,5940.0,75951.60851644805,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.01088218374231244,0.001353631356173658,0.139966892332571,0.5930054407621358,0.10384072222989053,0.04226260897489579,0.03302589198664658,0.23844316381375305,0.023278532656033576,1.2341326072021288,0.017696931669787565,0.017980071865709487,1.3989352061402376,1.3943371406758178,0.1704238114851392
DA4002 9x2.85 2b,2.85,2,6200.0,79275.91328537179,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.011088335550409452,0.0013762575810629825,0.14261842153032628,0.5999082269221565,0.10557644113380603,0.04224026552847303,0.03273983918767308,0.22925443518354105,0.022260385826391876,1.2347466782063674,0.017196926457375205,0.01752531105437601,1.3954033983224767,1.3902186110526065,0.16288602147121128
DA4002 9x2.85 2b,2.85,2,6436.667,82301.84105481156,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.01127681351763707,0.001399622956674644,0.14504262938884974,0.6049974483445605,0.1073688622886661,0.0424109745723646,0.032667291414919385,0.2187681146250543,0.021171922403130185,1.2365996607837302,0.016788452088801226,0.017121488215244143,1.3944482092069828,1.3893212548346754,0.1563623915811337
DA4002 9x4.76 2b,4.76,2,3230.0,41405.89074996495,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.013634916709254884,0.0020913859049242933,0.17781534642534,0.538306420097711,0.1669944475814794,0.07710026432769837,0.06361613683963123,0.4155777351060913,0.07670571696112166,1.3089018567343012,0.026557678335825615,0.026831686087431427,1.5622453440528576,1.5591972296845202,0.1590333015285893
DA4002 9x4.76 2b,4.76,2,3550.0,45587.55988597607,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.013903894506427768,0.002093644421020324,0.18132313317643595,0.5537156188025769,0.16717478715770132,0.07460749643848565,0.060722402830603296,0.3719291192386491,0.0681581387577575,1.3078682794333505,0.024890894651185293,0.025284689010549928,1.5370860635654304,1.5328319219965785,0.1488914391600506
DA4002 9x4.76 2b,4.76,2,3683.333,47310.49563637958,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014053799638473278,0.0021238264088490957,0.18327807236337768,0.554698027881042,0.16958477967630306,0.07551643683121673,0.061406185404453785,0.3548194084752696,0.06480080844909288,1.3066303439246867,0.024204144670483697,0.024647293634962812,1.545478857273325,1.5407679316731056,0.14272592573864026
DA4002 9x4.76 2b,4.76,2,3970.0,51002.37828149403,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.01405431566302421,0.0020816537537468524,0.18328480193028623,0.5659669404218178,0.16621734795303228,0.0721438240870259,0.05803279550712495,0.3214727632312729,0.05829223605407496,1.3035143661195767,0.022858761874285764,0.023372552027580984,1.523899394721721,1.5184378139051353,0.1375233220586874
DA4002 9x4.76 2b,4.76,2,4220.0,54217.51654566554,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014153779395216198,0.0020688007439639876,0.18458192595191455,0.5755392836144602,0.1651910518192604,0.0701171121956841,0.05585602125214767,0.2961229288566924,0.05338805227517983,1.300641529821835,0.021981939596177346,0.02247519720443294,1.5062919743316312,1.5011038269780186,0.1330697961789621
DA4002 9x4.76 2b,4.76,2,4456.667,57260.26370025191,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014228344942825755,0.002072332241859599,0.185554348370204,0.5791048422530342,0.1654730373384437,0.06964680015343383,0.05527286457568236,0.27554642242361516,0.04944483891005347,1.2981302100628576,0.02115213127299476,0.021625957261872754,1.5060688002056404,1.50112416288295,0.1278282650346962
DA4002 9x4.76 2b,4.76,2,4703.333,60431.08661941243,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014318649239238713,0.002068143721099688,0.18673202257920501,0.5858107836683143,0.16513858939708675,0.06839862292849938,0.05388762795821128,0.2578232687242026,0.046066210604400935,1.2960763681929943,0.02032680947309926,0.020772181066870808,1.496917822180656,1.4923140207733425,0.12308939750128355
