tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,-2.89,0.114,0.0226,-0.0315642283799117,0.0242206233397494,0.9670860487959324,-0.1455642283799117,0.0717089973340473,-0.0275,0.02338,True,0.07170899733404426,0.03451327433628332,0.03595480495078689,-0.1455642283799117,-0.14150000000000001,-0.004064228379911699
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,-1.87,0.212,0.0207,0.1187839049153233,0.02249394947289,0.9653855275383364,-0.0932160950846766,0.0866642257434789,0.1265,0.02179,True,0.0866642257434783,0.05265700483091791,0.03230607952684719,-0.0932160950846767,-0.08549999999999999,-0.007716095084676702
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,-0.84,0.303,0.02,0.2559462270157526,0.0205642639306268,0.9691466181482724,-0.0470537729842474,0.028213196531342,0.2519,0.02059,True,0.02821319653134001,0.029500000000000012,-0.0012499305183681425,-0.0470537729842474,-0.05109999999999998,0.004046227015752579
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,0.17,0.403,0.0182,0.3722032067591115,0.0187051165017075,0.9766236311733792,-0.0307967932408885,0.0277536539399733,0.3679,0.01935,True,0.027753653939972436,0.06318681318681309,-0.03332731257325581,-0.03079679324088852,-0.03510000000000002,0.0043032067591115
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,1.21,0.512,0.0177,0.4985352625977441,0.017012573773549,0.980438488825236,-0.0134647374022558,-0.0388376399124822,0.525,0.0168,True,-0.03883763991248597,-0.050847457627118724,0.012653200806488083,-0.0134647374022559,0.013000000000000012,-0.02646473740225591
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,2.23,0.608,0.0183,0.6282328884355225,0.0166846008371308,0.9849750453129544,0.0202328884355225,-0.0882731782988588,0.6347,0.01666,True,-0.08827317829886343,-0.08961748633879776,0.0014766408842015804,0.02023288843552251,0.026700000000000057,-0.006467111564477546
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,3.24,0.711,0.0182,0.7348038930238814,0.0172086582825582,0.9877662705213776,0.0238038930238814,-0.0544693251341627,0.7404,0.01705,True,-0.054469325134164845,-0.06318681318681328,0.009305471117783083,0.023803893023881417,0.02939999999999998,-0.0055961069761185644
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,4.27,0.805,0.0186,0.8404594637952393,0.018432104965271,0.98858077895787,0.0354594637952392,-0.0090266147703749,0.8459,0.01829,True,-0.009026614770376275,-0.01666666666666655,0.007769544301312142,0.03545946379523923,0.040899999999999936,-0.005440536204760704
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,5.29,0.894,0.0212,0.9444854898162792,0.0201829158581584,0.9876843670859028,0.0504854898162793,-0.0479756670679981,0.9519,0.02006,True,-0.04797566706799995,-0.05377358490566032,0.006127410675892309,0.050485489816279205,0.05789999999999995,-0.007414510183720746
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,6.3,0.982,0.0237,1.04637008138502,0.0222146657693026,0.9853174369931788,0.0643700813850198,-0.0626723304091728,1.0512,0.02239,True,-0.062672330409173,-0.05527426160337547,-0.007830916958347537,0.0643700813850201,0.06919999999999993,-0.0048299186149798334
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,7.33,1.07,0.0253,1.148169983638106,0.0241914739016148,0.9822572045447452,0.0781699836381057,-0.0438152608057372,1.1511,0.02518,True,-0.04381526080573905,-0.004743083003952513,-0.03925838357367749,0.07816998363810601,0.08109999999999995,-0.002930016361893939
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,8.34,1.151,0.0281,1.2414691391520398,0.0256352658352186,0.9804404235867156,0.0904691391520398,-0.0877129596007608,1.2426,0.02705,True,-0.08771295960076157,-0.03736654804270458,-0.05230070849469135,0.0904691391520398,0.0915999999999999,-0.0011308608479601023
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,9.36,1.231,0.0289,1.317496784106071,0.0265536580966921,0.9810139306077624,0.0864967841060708,-0.0811883011525198,1.3191,0.02728,True,-0.08118830115252246,-0.056055363321799306,-0.026625436338266098,0.08649678410607087,0.08809999999999985,-0.0016032158939289776
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,10.39,1.298,0.0312,1.3420907784687572,0.0280411558011394,0.9820418218705468,0.0440907784687572,-0.1012450063737351,1.3508,0.02785,True,-0.10124500637373715,-0.10737179487179484,0.0068637630570700095,0.0440907784687572,0.05279999999999996,-0.008709221531242761
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,11.37,1.274,0.0576,1.2762168015929218,0.0363018839293882,0.9832330197822506,0.0022168015929218,-0.3697589595592321,1.2736,0.03806,True,-0.36975895955923266,-0.3392361111111111,-0.046193275633520714,0.0022168015929218132,-0.00039999999999995595,0.002616801592921769
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,12.37,1.224,0.0687,1.223956372917364,0.0506860860086461,0.9848587407243364,-4.362708263605519e-05,-0.2622112662496925,1.2321,0.05167,True,-0.2622112662496928,-0.24788937409024742,-0.01904226807342554,-4.362708263605519e-05,0.008099999999999996,-0.008143627082636051
Princeton,WB135/35,WB135/35|100500,WB135/35,100500,100k,13.35,1.21,0.0772,1.2459937837911097,0.0604010920849857,0.98332169986535,0.0359937837911095,-0.2176024341323087,1.258,0.05933,True,-0.2176024341323096,-0.23147668393782386,0.01805312801256871,0.035993783791109735,0.04800000000000004,-0.012006216208890308
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-5.95,-0.157,0.0174,-0.3309736661292367,0.0178670520239871,0.9821619773674044,-0.1739736661292367,0.0268420703440911,-0.3558,0.01777,True,0.026842070344086182,0.021264367816092086,0.005461565784304855,-0.17397366612923668,-0.1988,0.02482633387076333
