dap_name,chord_in,x,y
DF102,11.981,0.38465,0.07591
DF102,11.981,0.30177,0.07723
DF102,11.981,0.23713,0.07552
DF102,11.981,0.18776,0.07312
DF102,11.981,0.13114,0.06848
DF102,11.981,0.08774,0.06029
DF102,11.981,0.04747,0.0462
DF102,11.981,0.02653,0.03504
DF102,11.981,0.01628,0.02758
DF102,11.981,0.0093,0.02087
DF102,11.981,0.00374,0.01266
DF102,11.981,0.00122,0.00638
DF102,11.981,0.0,0.0
DF102,11.981,0.00067,-0.00184
DF102,11.981,0.00507,-0.00659
DF102,11.981,0.01516,-0.01135
DF102,11.981,0.02851,-0.01607
DF102,11.981,0.04978,-0.02193
DF102,11.981,0.09129,-0.02959
DF102,11.981,0.1521,-0.03461
DF102,11.981,0.21567,-0.03645
DF102,11.981,0.29604,-0.03502
DF102,11.981,0.37094,-0.03256
DF102,11.981,0.47468,-0.02853
DF102,11.981,0.56072,-0.02472
DF102,11.981,0.629,-0.02171
DF102,11.981,0.69649,-0.01907
DF102,11.981,0.78261,-0.01512
DF102,11.981,0.85031,-0.0119
DF102,11.981,0.88932,-0.01043
DF102,11.981,0.91774,-0.00921
DF102,11.981,0.93667,-0.00739
DF102,11.981,0.95726,-0.00519
DF102,11.981,0.97224,-0.00346
DF102,11.981,0.9852,-0.00227
DF102,11.981,0.99197,-0.00153
DF102,11.981,0.99915,-0.00015
DF102,11.981,1.0,0.0
DF103,11.966,1.0,0.0
DF103,11.966,0.99839,0.00062
DF103,11.966,0.99344,0.00171
DF103,11.966,0.98725,0.0028
DF103,11.966,0.96137,0.00654
DF103,11.966,0.93023,0.01087
DF103,11.966,0.90275,0.01514
DF103,11.966,0.85245,0.02447
DF103,11.966,0.80273,0.03286
DF103,11.966,0.76033,0.03902
DF103,11.966,0.70203,0.04757
DF103,11.966,0.64366,0.05501
DF103,11.966,0.57978,0.06266
DF103,11.966,0.5202,0.06842
DF103,11.966,0.44983,0.07362
DF103,11.966,0.38151,0.07602
DF103,11.966,0.32115,0.07665
DF103,11.966,0.24545,0.07458
DF103,11.966,0.18323,0.068
DF103,11.966,0.1225,0.05787
DF103,11.966,0.07474,0.04478
DF103,11.966,0.03718,0.02933
DF103,11.966,0.01256,0.01611
DF103,11.966,0.00321,0.00764
DF103,11.966,0.0,0.0
DF103,11.966,0.00156,-0.00456
DF103,11.966,0.00531,-0.00817
DF103,11.966,0.01343,-0.01256
DF103,11.966,0.02464,-0.01705
DF103,11.966,0.04527,-0.02263
DF103,11.966,0.07923,-0.02935
DF103,11.966,0.13321,-0.035
DF103,11.966,0.17245,-0.03677
DF103,11.966,0.22188,-0.03747
DF103,11.966,0.28975,-0.0358
DF103,11.966,0.35733,-0.03383
DF103,11.966,0.41728,-0.03145
DF103,11.966,0.48896,-0.02828
DF103,11.966,0.55877,-0.02525
DF103,11.966,0.6351,-0.02182
DF103,11.966,0.7183,-0.01817
DF103,11.966,0.78521,-0.01512
DF103,11.966,0.85325,-0.01255
DF103,11.966,0.91451,-0.01044
DF103,11.966,0.95585,-0.00628
DF103,11.966,0.97433,-0.00387
DF103,11.966,0.98913,-0.00221
DF103,11.966,0.99488,-0.00152
DF103,11.966,1.0,0.0
E193,11.962,1.0,0.0
E193,11.962,0.99023,0.00405
E193,11.962,0.97498,0.00611
E193,11.962,0.93975,0.01077
E193,11.962,0.89354,0.01779
E193,11.962,0.83149,0.02758
E193,11.962,0.76683,0.03764
E193,11.962,0.69587,0.04856
E193,11.962,0.62046,0.05987
E193,11.962,0.53249,0.07139
E193,11.962,0.45255,0.07866
E193,11.962,0.3582,0.08223
E193,11.962,0.27865,0.08034
E193,11.962,0.2059,0.07308
E193,11.962,0.14176,0.06289
E193,11.962,0.09505,0.05207
E193,11.962,0.06074,0.04109
E193,11.962,0.03087,0.02759
E193,11.962,0.01476,0.01771
E193,11.962,0.00706,0.01178
