volume,file,airfoil_label,asb_name,builder,config,comment,xtr_upper,xtr_lower,Re,alpha,CL,CD,run_file
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,2.84,0.515,0.0127,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,3.87,0.614,0.013,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,5.0,0.726,0.0128,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,5.93,0.815,0.0129,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,6.92,0.891,0.015,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,7.95,0.93,0.0222,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,8.97,0.973,0.0278,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,203000,9.98,1.009,0.036,JG00065.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-6.36,-0.405,0.0197,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-5.28,-0.282,0.0147,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-4.13,-0.188,0.0127,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-3.06,-0.097,0.0107,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-2.1,-0.013,0.009,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-1.03,0.078,0.0092,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,-0.01,0.192,0.0088,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,1.04,0.35,0.0094,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,2.08,0.45,0.0097,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,3.08,0.549,0.0101,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,4.08,0.652,0.0103,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,5.15,0.758,0.0104,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,6.08,0.842,0.0111,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,6.95,0.898,0.0151,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,8.03,0.95,0.0209,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,9.11,0.998,0.0264,JG00063.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,303300,10.13,1.032,0.0342,JG00063.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,-5.36,-0.25,0.0427,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,-3.71,-0.124,0.0245,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,-2.12,0.058,0.0233,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,-0.68,0.247,0.0228,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,0.93,0.436,0.0281,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,2.59,0.61,0.0325,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,4.18,0.773,0.0371,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,5.42,0.888,0.0387,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,6.99,1.039,0.0377,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,8.82,1.198,0.0257,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,61000,10.15,1.222,0.0393,AB00209.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,-5.38,-0.289,0.0477,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,-3.62,-0.066,0.0226,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,-2.04,0.144,0.0162,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,-0.49,0.307,0.0162,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,0.81,0.433,0.0185,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,2.46,0.588,0.0207,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,3.86,0.722,0.0213,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,5.61,0.895,0.0209,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,6.93,1.023,0.0205,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,8.7,1.165,0.0226,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,101000,10.13,1.192,0.0381,AB00211.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,-5.31,-0.291,0.0498,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,-3.46,-0.029,0.0188,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,-2.11,0.101,0.0137,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,-0.5,0.254,0.0115,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,0.83,0.395,0.0126,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,2.54,0.575,0.0147,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,4.07,0.733,0.0166,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,5.65,0.892,0.0167,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,7.06,1.027,0.0167,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,8.65,1.142,0.0221,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,151600,10.04,1.182,0.0348,JG00555.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,-4.65,-0.142,0.0236,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,-3.35,-0.009,0.0155,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,-1.97,0.119,0.0116,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,-0.37,0.278,0.01,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,1.27,0.452,0.011,JG00213.DAT
