R,v_tip,c_over_R,rpm,dP_pct_at_11p7,solidity,thrust_N,aircraft_kg,power_W,induced_frac,FM,CT_sigma,tip_mach,Re_75,Re_min,Re_max,all_inside_envelope,alpha_min,alpha_max
0.3,115,0.16,3661,5.257001959256062,0.07052686044878854,13.863599999999998,5.654775076096322,130.6708724848212,0.5243184207498065,0.47463088537582987,0.04291383332659896,0.3379371143109022,223818.5815549711,64379.32283200109,262380.4131949244,True,-3.2657055196338227,0.26250688575776554
0.3,115,0.2,3661,5.780056960646001,0.08815857556098568,13.863599999999998,5.654775076096322,145.10109537142182,0.4794887369030248,0.42742911614263585,0.03433106704714848,0.3379371143109022,279779.74843501265,80614.7648336241,327940.83520880126,True,-3.4187334182434457,-0.39902257075020714
0.4,70,0.12,1671,1.819639879245488,0.05289514533659142,24.646400000000003,10.052933468615686,148.3924960534984,0.831450298015708,0.7430196893761418,0.15443141448295872,0.20570085218924478,136647.72347008187,38354.666097281915,160379.861762355,False,0.8722363897456191,18.536066724336454
0.4,70,0.16,1671,1.831735057210806,0.07052686044878854,24.646400000000003,10.052933468615686,146.8216684844646,0.8302970916371842,0.7509691802769417,0.11582356205643149,0.20570085218924478,182198.7590949844,51139.554796375895,213691.40833952095,False,-0.7188590787851787,16.51026118668162
0.4,70,0.2,1671,1.941050935140336,0.08815857556098569,24.646400000000003,10.052933468615686,147.36652241926487,0.8201416247881517,0.7481926435852452,0.09265884962058529,0.20570085218924478,227752.10502370342,63924.44349546987,266950.300086419,True,-1.4683718878503866,15.341927971677965
0.4,85,0.12,2029,2.3739512337371065,0.05289514533659142,24.646400000000003,10.052933468615686,153.7248705635079,0.780461387322644,0.7172459948884942,0.1047354930637793,0.24977960622979722,165670.93597519925,46573.5231175843,194276.6932089128,False,-1.0959438759072648,14.839287651736074
0.4,85,0.16,2029,2.6014412690215774,0.07052686044878854,24.646400000000003,10.052933468615686,157.0178801770951,0.7596276616939003,0.7022037711236117,0.07855161973502815,0.24977960622979722,220903.23508914886,62098.03082344574,258931.73833198615,True,-2.032600236244841,13.53025832528747
0.4,85,0.2,2029,2.972637152289745,0.08815857556098569,24.646400000000003,10.052933468615686,163.72432832590866,0.7260035240027105,0.6734402220868623,0.0628412959531662,0.24977960622979722,276134.65872009523,77622.53852930717,323571.134673046,True,-2.508253135161628,12.75804580727013
0.4,100,0.12,2387,3.177794925047194,0.05289514533659142,24.646400000000003,10.052933468615686,168.7946566361768,0.7074242383686487,0.653211165731155,0.07567139680595866,0.29385836027034967,194743.87911598355,56235.3169485935,228320.23775337322,False,-2.2005742798056946,2.134909394112586
0.4,100,0.16,2387,3.7149252601040343,0.07052686044878854,24.646400000000003,10.052933468615686,182.39755269464914,0.6594101800846399,0.6044957643369353,0.05675354540788034,0.29385836027034967,259654.53457347624,75111.92009990613,304347.00487126433,True,-2.762423214216132,0.9571274244674383
0.4,100,0.2,2387,4.234456237206301,0.08815857556098569,24.646400000000003,10.052933468615686,197.65522698623982,0.6135742233674643,0.5578326892022036,0.04540283599008654,0.29385836027034967,324555.94265945425,93950.3454619854,380368.7226853741,True,-3.0481574052961,0.18646013368763606
0.4,115,0.12,2745,4.260749488267229,0.05289514533659142,24.646400000000003,10.052933468615686,196.11279867606535,0.6110018687432658,0.5622200210972124,0.05721844312375602,0.3379371143109021,223828.63406282343,64466.43740998571,262423.33455970814,True,-2.8577320875696293,1.2775064087303936
0.4,115,0.16,2745,4.930931377365842,0.07052686044878854,24.646400000000003,10.052933468615686,220.47360806411956,0.5524655135730095,0.5000986044114043,0.04291383283408488,0.3379371143109021,298427.28299980855,86095.3810266067,349838.5989325633,True,-3.212971658317367,0.29305067664172113
0.4,115,0.2,2745,5.4698397405029695,0.08815857556098569,24.646400000000003,10.052933468615686,244.30001321660922,0.5060540000010533,0.451324363056711,0.034331067130240756,0.3379371143109021,373040.9300718317,107653.54257539481,437253.10075828567,True,-3.37098319671225,-0.36183735817424917
0.5,70,0.12,1337,1.5922955519325526,0.0528951453365914,38.51,15.707708544712007,225.98358709195557,0.8521297846430971,0.7623517639120794,0.15443141902735594,0.20570085218924478,170807.94896202532,47943.332621602385,200467.28935342203,False,0.8545696099761466,18.49575366789396
0.5,70,0.16,1337,1.643906171850176,0.07052686044878856,38.51,15.707708544712007,224.66335537215593,0.8473536075913198,0.7668316936143528,0.1158235620556761,0.20570085218924478,227747.65205869422,63924.44349546985,267102.2690164463,True,-0.68269656648699,16.517000477636156
0.5,70,0.2,1337,1.7810123247027596,0.0881585755609857,38.51,15.707708544712007,226.14481836309952,0.8346792835273319,0.7618082192834906,0.09265884967475603,0.20570085218924478,284692.19141165493,79905.55436933732,333690.2516845677,True,-1.4611473359852505,15.354230343154438
0.5,85,0.12,1623,2.1301490396885994,0.0528951453365914,38.51,15.707708544712007,233.47013465696827,0.8024476804281748,0.7379058642868753,0.10473549333803348,0.24977960622979722,207087.56977530825,58216.903896980366,242838.88336328283,False,-1.0669996829495358,14.842782489645373
